nct_id,title,condition,summary,phase,status,search_text
NCT02184403,Quality of Life After Laser Cordectomy in Early Glottic Cancer,Carcinoma of Glottis,"Laryngeal cancer is common in the Taiwanese populations. Before early 80's, open laryngectomy was the suggested treatment modality for laryngeal cancer. Patients of laryngectomy lost speech and should communicate by using prosthesis. So after 90's, medical organ preservation by chemoradiation therapy took the place of operation.

Unfortunately, from the recent review, five-year survival rate was decreasing and is even lower than that reported 10 years ago. In 1983-1985 it was 68.1% but decreased to 64.7% in 1992-1999. It is the only cancer type of decreasing survival in 24 index cancers.

Laser resection of laryngeal tumor was first reported by Jako and Strong and widely used in the Europe. Dr Steiner and his colleagues developed a non-en block resection technique made microscopic resection more easily and would not be limited by tumor location or size so much. The investigators used transoral microscopic laser (TLM) in early glottic cancer and reported five-year overall survival as 97%. TLM five-year disease control rate was reported as 85%. There are some reports about TLM in advanced stage laryngeal cancer and overall 5-year survival rate can be achieved as high as 55%. Present project is planning to develop a comprehensive organ preservation protocol based on microinvasive TLM as primary treatment modality for early glottic cancer without neck or distant metastasis. The objects of the project are as followed.

1. Long term outcomes by performing the treatment protocol. The outcome measurements include local control rate, overall and disease specific survival, larynx preservation rate.
2. The difference between surgical samples and pretreatment imaging examination.
3. The role of adjuvant therapy.
4. Management and follow-up in neck metastasis.
5. Searching for risk factors and predictor factors.
6. Adequate salvage treatments in local or regional recurrence.
7. Realizing failure patterns and appropriate follow-up protocol according to it.",,UNKNOWN,"Quality of Life After Laser Cordectomy in Early Glottic Cancer Carcinoma of Glottis Laryngeal cancer is common in the Taiwanese populations. Before early 80's, open laryngectomy was the suggested treatment modality for laryngeal cancer. Patients of laryngectomy lost speech and should communicate by using prosthesis. So after 90's, medical organ preservation by chemoradiation therapy took the place of operation.

Unfortunately, from the recent review, five-year survival rate was decreasing and is even lower than that reported 10 years ago. In 1983-1985 it was 68.1% but decreased to 64.7% in 1992-1999. It is the only cancer type of decreasing survival in 24 index cancers.

Laser resection of laryngeal tumor was first reported by Jako and Strong and widely used in the Europe. Dr Steiner and his colleagues developed a non-en block resection technique made microscopic resection more easily and would not be limited by tumor location or size so much. The investigators used transoral microscopic laser (TLM) in early glottic cancer and reported five-year overall survival as 97%. TLM five-year disease control rate was reported as 85%. There are some reports about TLM in advanced stage laryngeal cancer and overall 5-year survival rate can be achieved as high as 55%. Present project is planning to develop a comprehensive organ preservation protocol based on microinvasive TLM as primary treatment modality for early glottic cancer without neck or distant metastasis. The objects of the project are as followed.

1. Long term outcomes by performing the treatment protocol. The outcome measurements include local control rate, overall and disease specific survival, larynx preservation rate.
2. The difference between surgical samples and pretreatment imaging examination.
3. The role of adjuvant therapy.
4. Management and follow-up in neck metastasis.
5. Searching for risk factors and predictor factors.
6. Adequate salvage treatments in local or regional recurrence.
7. Realizing failure patterns and appropriate follow-up protocol according to it."
NCT01226303,Treatment Study for Children and Adolescents With Acute Promyelocitic Leukemia,Acute Promyelocytic Leukemia,"This study is open to all patients with a diagnosis of acute promyelocytic leukemia (APL) who are PCR positive for the PML-RARα transcript or rarer retinoid sensitive subtypes (i.e. NPM-RAR-alpha, NuMA-RARalpha) and less than 21 years of age (for AIEOP, see appendix A).",PHASE3,UNKNOWN,"Treatment Study for Children and Adolescents With Acute Promyelocitic Leukemia Acute Promyelocytic Leukemia This study is open to all patients with a diagnosis of acute promyelocytic leukemia (APL) who are PCR positive for the PML-RARα transcript or rarer retinoid sensitive subtypes (i.e. NPM-RAR-alpha, NuMA-RARalpha) and less than 21 years of age (for AIEOP, see appendix A)."
NCT05206903,Emotional and Physical Health Status of Adults,"Pandemic, COVID-19, Adult ALL",To investigate the comparison of differences between emotional and physical health status of adults in COVID-19 isolation period and controlled normalization period.,,UNKNOWN,"Emotional and Physical Health Status of Adults Pandemic, COVID-19, Adult ALL To investigate the comparison of differences between emotional and physical health status of adults in COVID-19 isolation period and controlled normalization period."
NCT07075627,A Study to Evaluate the Incidence of Clinically Suspicious Lambert-Eaton Myasthenic Syndrome (LEMS) in Subjects Diagnosed With Small Cell Lung Cancer (SCLC),"Small Cell Lung Cancer ( SCLC ), Lambert Eaton Myasthenic Syndrome (LEMS)",This is a multi-center observational study in subjects with a diagnosis of small cell lung cancer. Screening and/or medical record review for symptoms associated with Lambert Eaton Myasthenic Syndrome (LEMS) will be conducted.,,NOT_YET_RECRUITING,"A Study to Evaluate the Incidence of Clinically Suspicious Lambert-Eaton Myasthenic Syndrome (LEMS) in Subjects Diagnosed With Small Cell Lung Cancer (SCLC) Small Cell Lung Cancer ( SCLC ), Lambert Eaton Myasthenic Syndrome (LEMS) This is a multi-center observational study in subjects with a diagnosis of small cell lung cancer. Screening and/or medical record review for symptoms associated with Lambert Eaton Myasthenic Syndrome (LEMS) will be conducted."
NCT07008027,Real World Asparaginase Therapy Toxicity,Drug Toxicity,"This research study is being done to learn more about the short term and long term side effects of treatment with asparaginase drugs, which are commonly used in acute lymphoblastic leukemia (ALL) or acute lymphoblastic lymphoma (LLy) therapy.",,NOT_YET_RECRUITING,"Real World Asparaginase Therapy Toxicity Drug Toxicity This research study is being done to learn more about the short term and long term side effects of treatment with asparaginase drugs, which are commonly used in acute lymphoblastic leukemia (ALL) or acute lymphoblastic lymphoma (LLy) therapy."
NCT05963061,Chronic Myeloid Leukemia (CML) Real-Life Database,Chronic Myeloid Leukemia (CML),"Establish the largest possible real-life cohort collecting long-term follow-up of a maximum number of CML patients in order to carry out observational studies: epidemiological, identification of subgroups according to their response to treatment, evaluation of new molecules in real life, therapeutic discontinuations, impact of the evolution of recommendations, etc.",,RECRUITING,"Chronic Myeloid Leukemia (CML) Real-Life Database Chronic Myeloid Leukemia (CML) Establish the largest possible real-life cohort collecting long-term follow-up of a maximum number of CML patients in order to carry out observational studies: epidemiological, identification of subgroups according to their response to treatment, evaluation of new molecules in real life, therapeutic discontinuations, impact of the evolution of recommendations, etc."
NCT07134842,A Study Assessing if it is Safe and Possible to Treat Brain Cancer Patients With Immunotherapy Before They Receive the Standard Treatment.,"Glioblastoma, Gliosarcoma, Adult, Glioblastoma - Category",WinGlio is a phase I study investigating neoadjuvant (before surgery) ipilimumab ( a type of immunotherapy drug) in patients with newly diagnosed glioblastoma (a form of brain cancer). Participants will receive up to 2 cycles of ipilimumab prior to the standard of care treatments for this patient group which can include debulking surgery and chemoradiation. The aim of giving the ipilimumab to the participants is to see if it is safe to treat patients with this condition with ipilimumab and also to see if the drug helps to reduce or control the patient's disease.,PHASE1,RECRUITING,"A Study Assessing if it is Safe and Possible to Treat Brain Cancer Patients With Immunotherapy Before They Receive the Standard Treatment. Glioblastoma, Gliosarcoma, Adult, Glioblastoma - Category WinGlio is a phase I study investigating neoadjuvant (before surgery) ipilimumab ( a type of immunotherapy drug) in patients with newly diagnosed glioblastoma (a form of brain cancer). Participants will receive up to 2 cycles of ipilimumab prior to the standard of care treatments for this patient group which can include debulking surgery and chemoradiation. The aim of giving the ipilimumab to the participants is to see if it is safe to treat patients with this condition with ipilimumab and also to see if the drug helps to reduce or control the patient's disease."
NCT02272673,The Effects of Honey on Febrile Neutropenia in Children With Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia,"Febrile neutropenia (FN) is a common and serious side effect of chemotherapy. Current management of FN is expensive and may induce side effects. Honey is a natural substance produced by honeybees. It possesses antioxidant, antimicrobial and anticancer effects. In addition, honey is not expensive. The aim of this study was to evaluate the effects of 12-week honey consumption on children with acute lymphoblastic leukemia (ALL) particularly with regards of FN episodes. This randomized crossover clinical trial included 40 patients of both sexes, aged 2.5 to 10 years. They were randomized into two equal groups \[intervention to control (I/C) and control to intervention (C/I)\]. The dietary intervention was 12-week honey consumption in a dose of 2.5g//kg body weight per dose twice weekly.",,COMPLETED,"The Effects of Honey on Febrile Neutropenia in Children With Acute Lymphoblastic Leukemia Acute Lymphoblastic Leukemia Febrile neutropenia (FN) is a common and serious side effect of chemotherapy. Current management of FN is expensive and may induce side effects. Honey is a natural substance produced by honeybees. It possesses antioxidant, antimicrobial and anticancer effects. In addition, honey is not expensive. The aim of this study was to evaluate the effects of 12-week honey consumption on children with acute lymphoblastic leukemia (ALL) particularly with regards of FN episodes. This randomized crossover clinical trial included 40 patients of both sexes, aged 2.5 to 10 years. They were randomized into two equal groups \[intervention to control (I/C) and control to intervention (C/I)\]. The dietary intervention was 12-week honey consumption in a dose of 2.5g//kg body weight per dose twice weekly."
NCT02959086,Shanghai Epidemiology Study for Adolescents and Children with Cancer,Childhood Cancer,"The purpose of this study is to describe the morbidity, mortality, disability and survival rate in Shanghai adolescents and children with cancer diagnosed since January 2002.",,RECRUITING,"Shanghai Epidemiology Study for Adolescents and Children with Cancer Childhood Cancer The purpose of this study is to describe the morbidity, mortality, disability and survival rate in Shanghai adolescents and children with cancer diagnosed since January 2002."
NCT06688786,"A Pospective, Single-arm, Multicenter Clinical Trial Evaluating Preoperative Neoadjuvant mFOLFOX6 Chemotherapy in Combination With PD1 Monoclonal Antibody in MSS/pMMR Locally Advanced Rectal Cancer",Locally Advanced Rectal Cancer (LARC),"Preoperative neoadjuvant chemoradiotherapy can induce tumor regression and reduce the risk of postoperative recurrence, serving as the standard treatment for locally advanced rectal cancer. However, neoadjuvant radiotherapy may increase the risk of postoperative complications, proctitis, enteritis, and reduced anal function. Exploring radiation-free approaches to prevent the effects of radiotherapy toxicity on postoperative complications and quality of life is now a significant research focus. Neoadjuvant chemotherapy represents a promising approach in the neoadjuvant treatment of rectal cancer. Neoadjuvant chemotherapy avoids the impact of radiotherapy on organ function, reduces the incidence of postoperative anastomotic leakage, and is beneficial for long-term anal function preservation. However, its low tumor regression rate limits its application in the neoadjuvant treatment of rectal cancer. For patients with locally advanced rectal cancer, there is an urgent need for a new neoadjuvant treatment strategy that can both significantly improve tumor regression rates and reduce the risk of postoperative anastomotic leakage, and protect long-term anal function. PD-1 inhibitors are highly effective in treating microsatellite instability-high (MSI-H) colorectal cancer patients, but show poor efficacy in the 95% of patients with microsatellite stable (MSS) tumors. The challenge now is to find combination therapies that can convert tumors into an ""immune-activated tumor,"" thereby enhancing the effectiveness of immunotherapy in MSS patients. Oxaliplatin and 5-fluorouracil have roles in releasing tumor antigen epitopes, activating CD8+ cells, and reshaping the immune microenvironment. Multiple clinical studies and animal experiments have shown that combining PD-1 antibodies with FOLFOX generates a synergistic effect, showing strong antitumor activity. This study evaluates the efficacy, safety, and impact on postoperative anal function of preoperative neoadjuvant treatment with FOLFOX chemotherapy combined with PD-1 inhibitors in patients with MSS-type advanced rectal cancer. The radiotherapy-free approach aims to avoid radiotherapy-related toxicity, offering significant potential to enhance the efficacy of neoadjuvant chemotherapy, improve long-term survival, and protect anal function.",NA,ACTIVE_NOT_RECRUITING,"A Pospective, Single-arm, Multicenter Clinical Trial Evaluating Preoperative Neoadjuvant mFOLFOX6 Chemotherapy in Combination With PD1 Monoclonal Antibody in MSS/pMMR Locally Advanced Rectal Cancer Locally Advanced Rectal Cancer (LARC) Preoperative neoadjuvant chemoradiotherapy can induce tumor regression and reduce the risk of postoperative recurrence, serving as the standard treatment for locally advanced rectal cancer. However, neoadjuvant radiotherapy may increase the risk of postoperative complications, proctitis, enteritis, and reduced anal function. Exploring radiation-free approaches to prevent the effects of radiotherapy toxicity on postoperative complications and quality of life is now a significant research focus. Neoadjuvant chemotherapy represents a promising approach in the neoadjuvant treatment of rectal cancer. Neoadjuvant chemotherapy avoids the impact of radiotherapy on organ function, reduces the incidence of postoperative anastomotic leakage, and is beneficial for long-term anal function preservation. However, its low tumor regression rate limits its application in the neoadjuvant treatment of rectal cancer. For patients with locally advanced rectal cancer, there is an urgent need for a new neoadjuvant treatment strategy that can both significantly improve tumor regression rates and reduce the risk of postoperative anastomotic leakage, and protect long-term anal function. PD-1 inhibitors are highly effective in treating microsatellite instability-high (MSI-H) colorectal cancer patients, but show poor efficacy in the 95% of patients with microsatellite stable (MSS) tumors. The challenge now is to find combination therapies that can convert tumors into an ""immune-activated tumor,"" thereby enhancing the effectiveness of immunotherapy in MSS patients. Oxaliplatin and 5-fluorouracil have roles in releasing tumor antigen epitopes, activating CD8+ cells, and reshaping the immune microenvironment. Multiple clinical studies and animal experiments have shown that combining PD-1 antibodies with FOLFOX generates a synergistic effect, showing strong antitumor activity. This study evaluates the efficacy, safety, and impact on postoperative anal function of preoperative neoadjuvant treatment with FOLFOX chemotherapy combined with PD-1 inhibitors in patients with MSS-type advanced rectal cancer. The radiotherapy-free approach aims to avoid radiotherapy-related toxicity, offering significant potential to enhance the efficacy of neoadjuvant chemotherapy, improve long-term survival, and protect anal function."
NCT02485470,Benefits of MPACT in Locally Advanced Head and Neck Cancer Patients Undergoing Chemoradiotherapy,Head and Neck Neoplasms,"The goal of this study is to test, in a randomized controlled trial among head and neck cancer patients, the short and longer term effects of the MPACT (Maintaining Physical Activity during Cancer Treatment) program (infused with motivational interviewing and self-determination theory-based strategies) initiated at the time of concurrent chemotherapy with radiation (CCRT), on key outcomes such as functional mobility and quality of life, and ultimately physical activity. The central hypotheses is that in head and neck cancer patients undergoing CCRT, the MPACT program, as compared to usual care controls, will result in less acute decline, faster recovery, and better maintenance of these key outcomes.",PHASE2,TERMINATED,"Benefits of MPACT in Locally Advanced Head and Neck Cancer Patients Undergoing Chemoradiotherapy Head and Neck Neoplasms The goal of this study is to test, in a randomized controlled trial among head and neck cancer patients, the short and longer term effects of the MPACT (Maintaining Physical Activity during Cancer Treatment) program (infused with motivational interviewing and self-determination theory-based strategies) initiated at the time of concurrent chemotherapy with radiation (CCRT), on key outcomes such as functional mobility and quality of life, and ultimately physical activity. The central hypotheses is that in head and neck cancer patients undergoing CCRT, the MPACT program, as compared to usual care controls, will result in less acute decline, faster recovery, and better maintenance of these key outcomes."
NCT03992170,Study of Daratumumab in Multiple Myeloma (MM) Patients in >VGPR/MRD-positive,Myeloma Multiple,"Aim of this study is to evaluate Daratumumab effect on MRD-positive patients with Multiple Myeloma (MM) who achieved \>VGPR after any therapy (ASCT, VMP, Rev-Dex). Daratumumab 16 mg/kg administered at weekly intervals for 8 weeks, then every 2 weeks for an additional 16 weeks, will be given to 50 MM patients who achieved a \>VGPR defined by monoclonal component disappearance in serum or urine, immunofixation positive/negative and MRD-positivity (by NGF). Free light chain (FLC) and CT/PET will be evaluated at time 0. NGF will be done on marrow aspirate at time 0, at 2 months and every 6 months for 2 years. If patients will be still MRD positive after 6 months of therapy , treatment will be continued up to 2 years. If MRD negative by NGF, the patients can stop the treatment.",PHASE2,UNKNOWN,"Study of Daratumumab in Multiple Myeloma (MM) Patients in >VGPR/MRD-positive Myeloma Multiple Aim of this study is to evaluate Daratumumab effect on MRD-positive patients with Multiple Myeloma (MM) who achieved \>VGPR after any therapy (ASCT, VMP, Rev-Dex). Daratumumab 16 mg/kg administered at weekly intervals for 8 weeks, then every 2 weeks for an additional 16 weeks, will be given to 50 MM patients who achieved a \>VGPR defined by monoclonal component disappearance in serum or urine, immunofixation positive/negative and MRD-positivity (by NGF). Free light chain (FLC) and CT/PET will be evaluated at time 0. NGF will be done on marrow aspirate at time 0, at 2 months and every 6 months for 2 years. If patients will be still MRD positive after 6 months of therapy , treatment will be continued up to 2 years. If MRD negative by NGF, the patients can stop the treatment."
NCT04474470,A Study to Evaluate NT219 Alone and in Combination with ERBITUX® (Cetuximab) in Adults with Advanced Solid Tumors and Head and Neck Cancer,"Solid Tumor, Adult, Squamous Cell Carcinoma of Head and Neck, Colorectal Adenocarcinoma, Metastatic Solid Tumor, Recurrent Solid Tumor, Head and Neck Cancer","This is a phase 1/2, multi-center study with an open-label, dose escalation phase followed by a single-arm expansion phase to assess the safety, tolerability, pharmacokinetics, pharmacodynamics, and efficacy of NT219 alone and in combination with ERBITUX® (cetuximab) in adults with recurrent and/or metastatic solid tumors.","PHASE1, PHASE2",COMPLETED,"A Study to Evaluate NT219 Alone and in Combination with ERBITUX® (Cetuximab) in Adults with Advanced Solid Tumors and Head and Neck Cancer Solid Tumor, Adult, Squamous Cell Carcinoma of Head and Neck, Colorectal Adenocarcinoma, Metastatic Solid Tumor, Recurrent Solid Tumor, Head and Neck Cancer This is a phase 1/2, multi-center study with an open-label, dose escalation phase followed by a single-arm expansion phase to assess the safety, tolerability, pharmacokinetics, pharmacodynamics, and efficacy of NT219 alone and in combination with ERBITUX® (cetuximab) in adults with recurrent and/or metastatic solid tumors."
NCT04907370,PD-1 Blockade Combined With De-intensified Chemoradiotherapy Sparing Concurrent Cisplatin in Nasopharyngeal Carcinoma,Nasopharyngeal Carcinoma,"This is a phase 3, multi-center, randomized controlled trial, with the purpose to evaluate the therapeutic efficacy and safety of PD-1 blockade (toripalimab) combined with the de-intensified chemoradiotherapy sparing concurrent cisplatin (i.e., toripalimab incorporated into induction chemotherapy and radiotherapy) in high-risk locoregionally advanced nasopharyngeal carcinoma.",PHASE3,ACTIVE_NOT_RECRUITING,"PD-1 Blockade Combined With De-intensified Chemoradiotherapy Sparing Concurrent Cisplatin in Nasopharyngeal Carcinoma Nasopharyngeal Carcinoma This is a phase 3, multi-center, randomized controlled trial, with the purpose to evaluate the therapeutic efficacy and safety of PD-1 blockade (toripalimab) combined with the de-intensified chemoradiotherapy sparing concurrent cisplatin (i.e., toripalimab incorporated into induction chemotherapy and radiotherapy) in high-risk locoregionally advanced nasopharyngeal carcinoma."
NCT04426669,A Study of Metastatic Gastrointestinal Cancers Treated With Tumor Infiltrating Lymphocytes in Which the Gene Encoding the Intracellular Immune Checkpoint CISH Is Inhibited Using CRISPR Genetic Engineering,"Gastrointestinal Epithelial Cancer, Gastrointestinal Neoplasms, Cancer of Gastrointestinal Tract, Cancer, Gastrointestinal, Gastrointestinal Cancer, Colo-rectal Cancer, Pancreatic Cancer, Gall Bladder Cancer, Colon Cancer, Esophageal Cancer, Stomach Cancer","A clinical trial to assess the safety and efficacy of genetically-engineered, neoantigen-specific Tumor Infiltrating Lymphocytes (TIL) in which the intracellular immune checkpoint CISH has been inhibited using CRISPR gene editing for the treatment of Gastro-Intestinal (GI) Cancer.","PHASE1, PHASE2",COMPLETED,"A Study of Metastatic Gastrointestinal Cancers Treated With Tumor Infiltrating Lymphocytes in Which the Gene Encoding the Intracellular Immune Checkpoint CISH Is Inhibited Using CRISPR Genetic Engineering Gastrointestinal Epithelial Cancer, Gastrointestinal Neoplasms, Cancer of Gastrointestinal Tract, Cancer, Gastrointestinal, Gastrointestinal Cancer, Colo-rectal Cancer, Pancreatic Cancer, Gall Bladder Cancer, Colon Cancer, Esophageal Cancer, Stomach Cancer A clinical trial to assess the safety and efficacy of genetically-engineered, neoantigen-specific Tumor Infiltrating Lymphocytes (TIL) in which the intracellular immune checkpoint CISH has been inhibited using CRISPR gene editing for the treatment of Gastro-Intestinal (GI) Cancer."
NCT03086369,A Study of Nab-Paclitaxel and Gemcitabine With or Without Olaratumab (LY3012207) in Participants With Metastatic Pancreatic Cancer,Metastatic Pancreatic Cancer,The purpose of this study is to determine the safety and efficacy of nab-paclitaxel and gemcitabine with or without olaratumab in the treatment of first-line metastatic pancreatic cancer.,"PHASE1, PHASE2",COMPLETED,A Study of Nab-Paclitaxel and Gemcitabine With or Without Olaratumab (LY3012207) in Participants With Metastatic Pancreatic Cancer Metastatic Pancreatic Cancer The purpose of this study is to determine the safety and efficacy of nab-paclitaxel and gemcitabine with or without olaratumab in the treatment of first-line metastatic pancreatic cancer.
NCT02133183,Sapanisertib Before and After Surgery in Treating Patients With Recurrent Glioblastoma,"Glioblastoma, Gliosarcoma",This partially randomized pilot phase I trial studies how much sapanisertib reaches the brain tumor and how well it works when given before and after surgery in treating patients with glioblastoma that has grown or come back and requires surgery. Sapanisertib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,PHASE1,TERMINATED,"Sapanisertib Before and After Surgery in Treating Patients With Recurrent Glioblastoma Glioblastoma, Gliosarcoma This partially randomized pilot phase I trial studies how much sapanisertib reaches the brain tumor and how well it works when given before and after surgery in treating patients with glioblastoma that has grown or come back and requires surgery. Sapanisertib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth."
NCT06993441,Music and Symptom Relief in Radiotherapy Patient,Music Therapy,"This randomized controlled study aims to evaluate the effects of music therapy administered during radiotherapy sessions on pain, stress, and anxiety levels in cancer patients. The intervention involves playing Musicure, a therapeutic music track, for 30 minutes via speakers during radiotherapy. The study includes two groups: an intervention group receiving music therapy and a control group receiving standard care without music.

Participants' pain levels were assessed using the Visual Analog Scale (VAS), while anxiety and stress levels were measured using the Face Anxıety Subscale ( FAS).

A total of 120 adult cancer patients undergoing outpatient radiotherapy at Tınaztepe Unıversty were included. The study was conducted under the supervision of Dr. Öğr. Üyesi \[Duygu AKBAŞ UYSAL (Principal Investigator) and co-researchers Prof.Dr Fsun ŞENUZUN AYKAR, Prof.Dr Zümra ARICAK ALICIKUŞ The research complies with ethical standards and has received approval from \[insert name of ethics committee\].

This study investigates a low-cost, non-pharmacological intervention that has the potential to improve symptom management and quality of life in cancer patients.",NA,COMPLETED,"Music and Symptom Relief in Radiotherapy Patient Music Therapy This randomized controlled study aims to evaluate the effects of music therapy administered during radiotherapy sessions on pain, stress, and anxiety levels in cancer patients. The intervention involves playing Musicure, a therapeutic music track, for 30 minutes via speakers during radiotherapy. The study includes two groups: an intervention group receiving music therapy and a control group receiving standard care without music.

Participants' pain levels were assessed using the Visual Analog Scale (VAS), while anxiety and stress levels were measured using the Face Anxıety Subscale ( FAS).

A total of 120 adult cancer patients undergoing outpatient radiotherapy at Tınaztepe Unıversty were included. The study was conducted under the supervision of Dr. Öğr. Üyesi \[Duygu AKBAŞ UYSAL (Principal Investigator) and co-researchers Prof.Dr Fsun ŞENUZUN AYKAR, Prof.Dr Zümra ARICAK ALICIKUŞ The research complies with ethical standards and has received approval from \[insert name of ethics committee\].

This study investigates a low-cost, non-pharmacological intervention that has the potential to improve symptom management and quality of life in cancer patients."
NCT05485454,A Preference Study of Two Pneumatic Compression Devices for Patients With Lower Limb Lymphedema,"Lymphedema of Leg, Lymphedema, Lymphedema, Secondary, Lymphedema Primary, Lymphedema, Lower Limb","This study will aim to undertake a preference evaluation comparing the Aria Health Aria Free™ to a competitor's device by assessing overall satisfaction and preference of the devices individually and in comparison to one another. Twenty (20) subjects will be enrolled on this study at one study site in Houston, Texas.",NA,COMPLETED,"A Preference Study of Two Pneumatic Compression Devices for Patients With Lower Limb Lymphedema Lymphedema of Leg, Lymphedema, Lymphedema, Secondary, Lymphedema Primary, Lymphedema, Lower Limb This study will aim to undertake a preference evaluation comparing the Aria Health Aria Free™ to a competitor's device by assessing overall satisfaction and preference of the devices individually and in comparison to one another. Twenty (20) subjects will be enrolled on this study at one study site in Houston, Texas."
NCT01659554,"A Phase II Combined Modality Protocol of Debulking Surgery With HIPEC Followed by Intraperitoneal Chemotherapy for the Treatment of Recurrent Ovarian, Primary Peritoneal & Fallopian Tube Cancers","Recurrent Ovarian Cancer, Fallopian Tube Cancer","The primary objective of this study is to investigate the feasibility, tolerability and safety of surgical debulking and resection with heated intraoperative chemotherapy (HIPEC) followed by repeated intraperitoneal chemotherapy for treatment of recurrent ovarian, primary peritoneal, and fallopian tube carcinomas.",PHASE2,TERMINATED,"A Phase II Combined Modality Protocol of Debulking Surgery With HIPEC Followed by Intraperitoneal Chemotherapy for the Treatment of Recurrent Ovarian, Primary Peritoneal & Fallopian Tube Cancers Recurrent Ovarian Cancer, Fallopian Tube Cancer The primary objective of this study is to investigate the feasibility, tolerability and safety of surgical debulking and resection with heated intraoperative chemotherapy (HIPEC) followed by repeated intraperitoneal chemotherapy for treatment of recurrent ovarian, primary peritoneal, and fallopian tube carcinomas."
NCT03672305,Clinical Study on the Efficacy and Safety of c-Met/PD-L1 CAR-T Cell Injection in the Treatment of HCC,Primary Hepatocellular Carcinoma,"Title: Single-center, open clinical study on the efficacy and safety of c-Met/PD-L1 T cell injection in the treatment of primary hepatocellular carcinoma

Stage: Phase I clinical trial

Purpose: To evaluate the efficacy and safety of c-Met/PD-L1 CAR-T cells in patients with primary hepatocellular carcinoma

Object: patients with primary hepatocellular carcinoma

Sample size: 50 cases

Number of centres：1

Study design: CT, MRI, PET and blood biochemical tests were performed before treatment to evaluate the state of HCC. Peripheral blood of the patient was extracted and PBMC was isolated. CAR-T cells were obtained by tranducing PBMC with c-Met/PD-L1 CAR lentivirus, and the proliferation capacity and immune phenotype of the cells were tested. After passing the inspection, the cells were re-injected into the patient three times. The efficacy and safety of c-Met/PD-L1 CAR-T cells was assessed respectively at 4 week, 12 week, 24 week and 48 week after treatment.

Trial product: c-Met/PD-L1 CAR-T cells

Course of treatment: 3 days for a course of treatment, only one course of treatment. A second course is given as appropriate if the treatment is beneficial to the patient.",EARLY_PHASE1,UNKNOWN,"Clinical Study on the Efficacy and Safety of c-Met/PD-L1 CAR-T Cell Injection in the Treatment of HCC Primary Hepatocellular Carcinoma Title: Single-center, open clinical study on the efficacy and safety of c-Met/PD-L1 T cell injection in the treatment of primary hepatocellular carcinoma

Stage: Phase I clinical trial

Purpose: To evaluate the efficacy and safety of c-Met/PD-L1 CAR-T cells in patients with primary hepatocellular carcinoma

Object: patients with primary hepatocellular carcinoma

Sample size: 50 cases

Number of centres：1

Study design: CT, MRI, PET and blood biochemical tests were performed before treatment to evaluate the state of HCC. Peripheral blood of the patient was extracted and PBMC was isolated. CAR-T cells were obtained by tranducing PBMC with c-Met/PD-L1 CAR lentivirus, and the proliferation capacity and immune phenotype of the cells were tested. After passing the inspection, the cells were re-injected into the patient three times. The efficacy and safety of c-Met/PD-L1 CAR-T cells was assessed respectively at 4 week, 12 week, 24 week and 48 week after treatment.

Trial product: c-Met/PD-L1 CAR-T cells

Course of treatment: 3 days for a course of treatment, only one course of treatment. A second course is given as appropriate if the treatment is beneficial to the patient."
NCT01870505,BYL719 Plus Letrozole or Exemestane for Patients With Hormone-Receptor Positive Locally-Advanced Unresectable or Metastatic Breast Cancer,Metastatic or Locally-advanced Unresectable Breast Cancer,"The purpose of this study is to test the safety of a drug called BYL719 at different dose levels. The investigators want to find out what effects, good and/or bad, BYL719 has on the patient and breast cancer. BYL719 will be given with either letrozole or exemestane to patients with HR+ locally-advanced or metastatic breast cancer. When the recommended phase II dose of BYL719 in combination with letrozole or exemestane has been determined in the dose-finding phase, an additional 10 patients will be enrolled onto each arm in an expansion phase of the study. The purpose of the expansion phase is to further define the safety and feasibility of BYL719 in combination with letrozole or exemestane at the recommended phase II dose, and to estimate efficacy.",PHASE1,COMPLETED,"BYL719 Plus Letrozole or Exemestane for Patients With Hormone-Receptor Positive Locally-Advanced Unresectable or Metastatic Breast Cancer Metastatic or Locally-advanced Unresectable Breast Cancer The purpose of this study is to test the safety of a drug called BYL719 at different dose levels. The investigators want to find out what effects, good and/or bad, BYL719 has on the patient and breast cancer. BYL719 will be given with either letrozole or exemestane to patients with HR+ locally-advanced or metastatic breast cancer. When the recommended phase II dose of BYL719 in combination with letrozole or exemestane has been determined in the dose-finding phase, an additional 10 patients will be enrolled onto each arm in an expansion phase of the study. The purpose of the expansion phase is to further define the safety and feasibility of BYL719 in combination with letrozole or exemestane at the recommended phase II dose, and to estimate efficacy."
